tax code,TYPE (invoice/refund),account_id,debit,credit,invoice amount untaxed,invoice amount tax,invoice total,vat declaration,tax_amount
VAT-IN-V81-06,VAT-IN-V81-06,VAT-IN-V81-06,VAT-IN-V81-06,VAT-IN-V81-06,VAT-IN-V81-06,VAT-IN-V81-06,VAT-IN-V81-06,VAT-IN-V81-06

VAT-IN-V81-06,in_invoice,440000,0.0,1060.0,1000.0,60.0,1060.0,[],0.0
VAT-IN-V81-06,in_invoice,411059,60.0,0.0,1000.0,60.0,1060.0,['+BETAX59'],60.0
VAT-IN-V81-06,in_invoice,600000,1000.0,0.0,1000.0,60.0,1060.0,['+BETAX81'],1000.0

VAT-IN-V81-06,in_refund,600000,0.0,0.0,1000.0,60.0,1060.0,['-BETAX81'],1000.0
VAT-IN-V81-06,in_refund,411059,0.0,60.0,1000.0,60.0,1060.0,['+BETAX63'],60.0
VAT-IN-V81-06,in_refund,600000,0.0,1000.0,1000.0,60.0,1060.0,['+BETAX85'],1000.0
VAT-IN-V81-06,in_refund,440000,1060.0,0.0,1000.0,60.0,1060.0,[],0.0

VAT-IN-V81-00,VAT-IN-V81-00,VAT-IN-V81-00,VAT-IN-V81-00,VAT-IN-V81-00,VAT-IN-V81-00,VAT-IN-V81-00,VAT-IN-V81-00,VAT-IN-V81-00

VAT-IN-V81-00,in_invoice,440000,0.0,1000.0,1000.0,0.0,1000.0,[],0.0
VAT-IN-V81-00,in_invoice,600000,1000.0,0.0,1000.0,0.0,1000.0,['+BETAX81'],1000.0

VAT-IN-V81-00,in_refund,600000,0.0,0.0,1000.0,0.0,1000.0,['-BETAX81'],1000.0
VAT-IN-V81-00,in_refund,600000,0.0,1000.0,1000.0,0.0,1000.0,['+BETAX85'],1000.0
VAT-IN-V81-00,in_refund,440000,1000.0,0.0,1000.0,0.0,1000.0,[],0.0

VAT-IN-V82-21-S,VAT-IN-V82-21-S,VAT-IN-V82-21-S,VAT-IN-V82-21-S,VAT-IN-V82-21-S,VAT-IN-V82-21-S,VAT-IN-V82-21-S,VAT-IN-V82-21-S,VAT-IN-V82-21-S

VAT-IN-V82-21-S,in_invoice,440000,0.0,1210.0,1000.0,210.0,1210.0,[],0.0
VAT-IN-V82-21-S,in_invoice,411059,210.0,0.0,1000.0,210.0,1210.0,['+BETAX59'],210.0
VAT-IN-V82-21-S,in_invoice,600000,1000.0,0.0,1000.0,210.0,1210.0,['+BETAX82'],1000.0

VAT-IN-V82-21-S,in_refund,600000,0.0,0.0,1000.0,210.0,1210.0,['-BETAX82'],1000.0
VAT-IN-V82-21-S,in_refund,411059,0.0,210.0,1000.0,210.0,1210.0,['+BETAX63'],210.0
VAT-IN-V82-21-S,in_refund,600000,0.0,1000.0,1000.0,210.0,1210.0,['+BETAX85'],1000.0
VAT-IN-V82-21-S,in_refund,440000,1210.0,0.0,1000.0,210.0,1210.0,[],0.0

VAT-IN-V82-21-G,VAT-IN-V82-21-G,VAT-IN-V82-21-G,VAT-IN-V82-21-G,VAT-IN-V82-21-G,VAT-IN-V82-21-G,VAT-IN-V82-21-G,VAT-IN-V82-21-G,VAT-IN-V82-21-G

VAT-IN-V82-21-G,in_invoice,440000,0.0,1210.0,1000.0,210.0,1210.0,[],0.0
VAT-IN-V82-21-G,in_invoice,411059,210.0,0.0,1000.0,210.0,1210.0,['+BETAX59'],210.0
VAT-IN-V82-21-G,in_invoice,600000,1000.0,0.0,1000.0,210.0,1210.0,['+BETAX82'],1000.0

VAT-IN-V82-21-G,in_refund,600000,0.0,0.0,1000.0,210.0,1210.0,['-BETAX82'],1000.0
VAT-IN-V82-21-G,in_refund,411059,0.0,210.0,1000.0,210.0,1210.0,['+BETAX63'],210.0
VAT-IN-V82-21-G,in_refund,600000,0.0,1000.0,1000.0,210.0,1210.0,['+BETAX85'],1000.0
VAT-IN-V82-21-G,in_refund,440000,1210.0,0.0,1000.0,210.0,1210.0,[],0.0

VAT-IN-V82-12-S,VAT-IN-V82-12-S,VAT-IN-V82-12-S,VAT-IN-V82-12-S,VAT-IN-V82-12-S,VAT-IN-V82-12-S,VAT-IN-V82-12-S,VAT-IN-V82-12-S,VAT-IN-V82-12-S

VAT-IN-V82-12-S,in_invoice,440000,0.0,1120.0,1000.0,120.0,1120.0,[],0.0
VAT-IN-V82-12-S,in_invoice,411059,120.0,0.0,1000.0,120.0,1120.0,['+BETAX59'],120.0
VAT-IN-V82-12-S,in_invoice,600000,1000.0,0.0,1000.0,120.0,1120.0,['+BETAX82'],1000.0

VAT-IN-V82-12-S,in_refund,600000,0.0,0.0,1000.0,120.0,1120.0,['-BETAX82'],1000.0
VAT-IN-V82-12-S,in_refund,411059,0.0,120.0,1000.0,120.0,1120.0,['+BETAX63'],120.0
VAT-IN-V82-12-S,in_refund,600000,0.0,1000.0,1000.0,120.0,1120.0,['+BETAX85'],1000.0
VAT-IN-V82-12-S,in_refund,440000,1120.0,0.0,1000.0,120.0,1120.0,[],0.0

VAT-IN-V82-12-G,VAT-IN-V82-12-G,VAT-IN-V82-12-G,VAT-IN-V82-12-G,VAT-IN-V82-12-G,VAT-IN-V82-12-G,VAT-IN-V82-12-G,VAT-IN-V82-12-G,VAT-IN-V82-12-G

VAT-IN-V82-12-G,in_invoice,440000,0.0,1120.0,1000.0,120.0,1120.0,[],0.0
VAT-IN-V82-12-G,in_invoice,411059,120.0,0.0,1000.0,120.0,1120.0,['+BETAX59'],120.0
VAT-IN-V82-12-G,in_invoice,600000,1000.0,0.0,1000.0,120.0,1120.0,['+BETAX82'],1000.0

VAT-IN-V82-12-G,in_refund,600000,0.0,0.0,1000.0,120.0,1120.0,['-BETAX82'],1000.0
VAT-IN-V82-12-G,in_refund,411059,0.0,120.0,1000.0,120.0,1120.0,['+BETAX63'],120.0
VAT-IN-V82-12-G,in_refund,600000,0.0,1000.0,1000.0,120.0,1120.0,['+BETAX85'],1000.0
VAT-IN-V82-12-G,in_refund,440000,1120.0,0.0,1000.0,120.0,1120.0,[],0.0

VAT-IN-V82-06-S,VAT-IN-V82-06-S,VAT-IN-V82-06-S,VAT-IN-V82-06-S,VAT-IN-V82-06-S,VAT-IN-V82-06-S,VAT-IN-V82-06-S,VAT-IN-V82-06-S,VAT-IN-V82-06-S

VAT-IN-V82-06-S,in_invoice,440000,0.0,1060.0,1000.0,60.0,1060.0,[],0.0
VAT-IN-V82-06-S,in_invoice,411059,60.0,0.0,1000.0,60.0,1060.0,['+BETAX59'],60.0
VAT-IN-V82-06-S,in_invoice,600000,1000.0,0.0,1000.0,60.0,1060.0,['+BETAX82'],1000.0

VAT-IN-V82-06-S,in_refund,600000,0.0,0.0,1000.0,60.0,1060.0,['-BETAX82'],1000.0
VAT-IN-V82-06-S,in_refund,411059,0.0,60.0,1000.0,60.0,1060.0,['+BETAX63'],60.0
VAT-IN-V82-06-S,in_refund,600000,0.0,1000.0,1000.0,60.0,1060.0,['+BETAX85'],1000.0
VAT-IN-V82-06-S,in_refund,440000,1060.0,0.0,1000.0,60.0,1060.0,[],0.0

VAT-IN-V82-06-G,VAT-IN-V82-06-G,VAT-IN-V82-06-G,VAT-IN-V82-06-G,VAT-IN-V82-06-G,VAT-IN-V82-06-G,VAT-IN-V82-06-G,VAT-IN-V82-06-G,VAT-IN-V82-06-G

VAT-IN-V82-06-G,in_invoice,440000,0.0,1060.0,1000.0,60.0,1060.0,[],0.0
VAT-IN-V82-06-G,in_invoice,411059,60.0,0.0,1000.0,60.0,1060.0,['+BETAX59'],60.0
VAT-IN-V82-06-G,in_invoice,600000,1000.0,0.0,1000.0,60.0,1060.0,['+BETAX82'],1000.0

VAT-IN-V82-06-G,in_refund,600000,0.0,0.0,1000.0,60.0,1060.0,['-BETAX82'],1000.0
VAT-IN-V82-06-G,in_refund,411059,0.0,60.0,1000.0,60.0,1060.0,['+BETAX63'],60.0
VAT-IN-V82-06-G,in_refund,600000,0.0,1000.0,1000.0,60.0,1060.0,['+BETAX85'],1000.0
VAT-IN-V82-06-G,in_refund,440000,1060.0,0.0,1000.0,60.0,1060.0,[],0.0

VAT-IN-V82-00-S,VAT-IN-V82-00-S,VAT-IN-V82-00-S,VAT-IN-V82-00-S,VAT-IN-V82-00-S,VAT-IN-V82-00-S,VAT-IN-V82-00-S,VAT-IN-V82-00-S,VAT-IN-V82-00-S

VAT-IN-V82-00-S,in_invoice,440000,0.0,1000.0,1000.0,0.0,1000.0,[],0.0
VAT-IN-V82-00-S,in_invoice,600000,1000.0,0.0,1000.0,0.0,1000.0,['+BETAX82'],1000.0

VAT-IN-V82-00-S,in_refund,600000,0.0,0.0,1000.0,0.0,1000.0,['-BETAX82'],1000.0
VAT-IN-V82-00-S,in_refund,600000,0.0,1000.0,1000.0,0.0,1000.0,['+BETAX85'],1000.0
VAT-IN-V82-00-S,in_refund,440000,1000.0,0.0,1000.0,0.0,1000.0,[],0.0

VAT-IN-V82-00-G,VAT-IN-V82-00-G,VAT-IN-V82-00-G,VAT-IN-V82-00-G,VAT-IN-V82-00-G,VAT-IN-V82-00-G,VAT-IN-V82-00-G,VAT-IN-V82-00-G,VAT-IN-V82-00-G

VAT-IN-V82-00-G,in_invoice,440000,0.0,1000.0,1000.0,0.0,1000.0,[],0.0
VAT-IN-V82-00-G,in_invoice,600000,1000.0,0.0,1000.0,0.0,1000.0,['+BETAX82'],1000.0

VAT-IN-V82-00-G,in_refund,600000,0.0,0.0,1000.0,0.0,1000.0,['-BETAX82'],1000.0
VAT-IN-V82-00-G,in_refund,600000,0.0,1000.0,1000.0,0.0,1000.0,['+BETAX85'],1000.0
VAT-IN-V82-00-G,in_refund,440000,1000.0,0.0,1000.0,0.0,1000.0,[],0.0

VAT-IN-V83-21,VAT-IN-V83-21,VAT-IN-V83-21,VAT-IN-V83-21,VAT-IN-V83-21,VAT-IN-V83-21,VAT-IN-V83-21,VAT-IN-V83-21,VAT-IN-V83-21

VAT-IN-V83-21,in_invoice,440000,0.0,1210.0,1000.0,210.0,1210.0,[],0.0
VAT-IN-V83-21,in_invoice,411059,210.0,0.0,1000.0,210.0,1210.0,['+BETAX59'],210.0
VAT-IN-V83-21,in_invoice,600000,1000.0,0.0,1000.0,210.0,1210.0,['+BETAX83'],1000.0

VAT-IN-V83-21,in_refund,600000,0.0,0.0,1000.0,210.0,1210.0,['-BETAX83'],1000.0
VAT-IN-V83-21,in_refund,411059,0.0,210.0,1000.0,210.0,1210.0,['+BETAX63'],210.0
VAT-IN-V83-21,in_refund,600000,0.0,1000.0,1000.0,210.0,1210.0,['+BETAX85'],1000.0
VAT-IN-V83-21,in_refund,440000,1210.0,0.0,1000.0,210.0,1210.0,[],0.0

VAT-IN-V83-12,VAT-IN-V83-12,VAT-IN-V83-12,VAT-IN-V83-12,VAT-IN-V83-12,VAT-IN-V83-12,VAT-IN-V83-12,VAT-IN-V83-12,VAT-IN-V83-12

VAT-IN-V83-12,in_invoice,440000,0.0,1120.0,1000.0,120.0,1120.0,[],0.0
VAT-IN-V83-12,in_invoice,411059,120.0,0.0,1000.0,120.0,1120.0,['+BETAX59'],120.0
VAT-IN-V83-12,in_invoice,600000,1000.0,0.0,1000.0,120.0,1120.0,['+BETAX83'],1000.0

VAT-IN-V83-12,in_refund,600000,0.0,0.0,1000.0,120.0,1120.0,['-BETAX83'],1000.0
VAT-IN-V83-12,in_refund,411059,0.0,120.0,1000.0,120.0,1120.0,['+BETAX63'],120.0
VAT-IN-V83-12,in_refund,600000,0.0,1000.0,1000.0,120.0,1120.0,['+BETAX85'],1000.0
VAT-IN-V83-12,in_refund,440000,1120.0,0.0,1000.0,120.0,1120.0,[],0.0

VAT-IN-V83-06,VAT-IN-V83-06,VAT-IN-V83-06,VAT-IN-V83-06,VAT-IN-V83-06,VAT-IN-V83-06,VAT-IN-V83-06,VAT-IN-V83-06,VAT-IN-V83-06

VAT-IN-V83-06,in_invoice,440000,0.0,1060.0,1000.0,60.0,1060.0,[],0.0
VAT-IN-V83-06,in_invoice,411059,60.0,0.0,1000.0,60.0,1060.0,['+BETAX59'],60.0
VAT-IN-V83-06,in_invoice,600000,1000.0,0.0,1000.0,60.0,1060.0,['+BETAX83'],1000.0

VAT-IN-V83-06,in_refund,600000,0.0,0.0,1000.0,60.0,1060.0,['-BETAX83'],1000.0
VAT-IN-V83-06,in_refund,411059,0.0,60.0,1000.0,60.0,1060.0,['+BETAX63'],60.0
VAT-IN-V83-06,in_refund,600000,0.0,1000.0,1000.0,60.0,1060.0,['+BETAX85'],1000.0
VAT-IN-V83-06,in_refund,440000,1060.0,0.0,1000.0,60.0,1060.0,[],0.0

VAT-IN-V83-00,VAT-IN-V83-00,VAT-IN-V83-00,VAT-IN-V83-00,VAT-IN-V83-00,VAT-IN-V83-00,VAT-IN-V83-00,VAT-IN-V83-00,VAT-IN-V83-00

VAT-IN-V83-00,in_invoice,440000,0.0,1000.0,1000.0,0.0,1000.0,[],0.0
VAT-IN-V83-00,in_invoice,600000,1000.0,0.0,1000.0,0.0,1000.0,['+BETAX83'],1000.0

VAT-IN-V83-00,in_refund,600000,0.0,0.0,1000.0,0.0,1000.0,['-BETAX83'],1000.0
VAT-IN-V83-00,in_refund,600000,0.0,1000.0,1000.0,0.0,1000.0,['+BETAX85'],1000.0
VAT-IN-V83-00,in_refund,440000,1000.0,0.0,1000.0,0.0,1000.0,[],0.0

VAT-IN-V81-21-CC,VAT-IN-V81-21-CC,VAT-IN-V81-21-CC,VAT-IN-V81-21-CC,VAT-IN-V81-21-CC,VAT-IN-V81-21-CC,VAT-IN-V81-21-CC,VAT-IN-V81-21-CC,VAT-IN-V81-21-CC

VAT-IN-V81-21-CC,in_invoice,600000,0.0,0.0,1000.0,0.0,1000.0,['+BETAX87'],1000.0
VAT-IN-V81-21-CC,in_invoice,451056,0.0,210.0,1000.0,0.0,1000.0,['+BETAX56'],210.0
VAT-IN-V81-21-CC,in_invoice,440000,0.0,1000.0,1000.0,0.0,1000.0,[],0.0
VAT-IN-V81-21-CC,in_invoice,411059,210.0,0.0,1000.0,0.0,1000.0,['+BETAX59'],210.0
VAT-IN-V81-21-CC,in_invoice,600000,1000.0,0.0,1000.0,0.0,1000.0,['+BETAX81'],1000.0

VAT-IN-V81-21-CC,in_refund,600000,0.0,0.0,1000.0,0.0,1000.0,['-BETAX81'],1000.0
VAT-IN-V81-21-CC,in_refund,600000,0.0,0.0,1000.0,0.0,1000.0,['-BETAX87'],1000.0
VAT-IN-V81-21-CC,in_refund,411059,0.0,210.0,1000.0,0.0,1000.0,[],210.0
VAT-IN-V81-21-CC,in_refund,600000,0.0,1000.0,1000.0,0.0,1000.0,['+BETAX85'],1000.0
VAT-IN-V81-21-CC,in_refund,451056,210.0,0.0,1000.0,0.0,1000.0,[],210.0
VAT-IN-V81-21-CC,in_refund,440000,1000.0,0.0,1000.0,0.0,1000.0,[],0.0

VAT-IN-V81-12-CC,VAT-IN-V81-12-CC,VAT-IN-V81-12-CC,VAT-IN-V81-12-CC,VAT-IN-V81-12-CC,VAT-IN-V81-12-CC,VAT-IN-V81-12-CC,VAT-IN-V81-12-CC,VAT-IN-V81-12-CC

VAT-IN-V81-12-CC,in_invoice,600000,0.0,0.0,1000.0,0.0,1000.0,['+BETAX87'],1000.0
VAT-IN-V81-12-CC,in_invoice,451056,0.0,120.0,1000.0,0.0,1000.0,['+BETAX56'],120.0
VAT-IN-V81-12-CC,in_invoice,440000,0.0,1000.0,1000.0,0.0,1000.0,[],0.0
VAT-IN-V81-12-CC,in_invoice,411059,120.0,0.0,1000.0,0.0,1000.0,['+BETAX59'],120.0
VAT-IN-V81-12-CC,in_invoice,600000,1000.0,0.0,1000.0,0.0,1000.0,['+BETAX81'],1000.0

VAT-IN-V81-12-CC,in_refund,600000,0.0,0.0,1000.0,0.0,1000.0,['-BETAX81'],1000.0
VAT-IN-V81-12-CC,in_refund,600000,0.0,0.0,1000.0,0.0,1000.0,['-BETAX87'],1000.0
VAT-IN-V81-12-CC,in_refund,411059,0.0,120.0,1000.0,0.0,1000.0,[],120.0
VAT-IN-V81-12-CC,in_refund,600000,0.0,1000.0,1000.0,0.0,1000.0,['+BETAX85'],1000.0
VAT-IN-V81-12-CC,in_refund,451056,120.0,0.0,1000.0,0.0,1000.0,[],120.0
VAT-IN-V81-12-CC,in_refund,440000,1000.0,0.0,1000.0,0.0,1000.0,[],0.0

VAT-IN-V81-06-CC,VAT-IN-V81-06-CC,VAT-IN-V81-06-CC,VAT-IN-V81-06-CC,VAT-IN-V81-06-CC,VAT-IN-V81-06-CC,VAT-IN-V81-06-CC,VAT-IN-V81-06-CC,VAT-IN-V81-06-CC

VAT-IN-V81-06-CC,in_invoice,600000,0.0,0.0,1000.0,0.0,1000.0,['+BETAX87'],1000.0
VAT-IN-V81-06-CC,in_invoice,451056,0.0,60.0,1000.0,0.0,1000.0,['+BETAX56'],60.0
VAT-IN-V81-06-CC,in_invoice,440000,0.0,1000.0,1000.0,0.0,1000.0,[],0.0
VAT-IN-V81-06-CC,in_invoice,411059,60.0,0.0,1000.0,0.0,1000.0,['+BETAX59'],60.0
VAT-IN-V81-06-CC,in_invoice,600000,1000.0,0.0,1000.0,0.0,1000.0,['+BETAX81'],1000.0

VAT-IN-V81-06-CC,in_refund,600000,0.0,0.0,1000.0,0.0,1000.0,['-BETAX81'],1000.0
VAT-IN-V81-06-CC,in_refund,600000,0.0,0.0,1000.0,0.0,1000.0,['-BETAX87'],1000.0
VAT-IN-V81-06-CC,in_refund,411059,0.0,60.0,1000.0,0.0,1000.0,[],60.0
VAT-IN-V81-06-CC,in_refund,600000,0.0,1000.0,1000.0,0.0,1000.0,['+BETAX85'],1000.0
VAT-IN-V81-06-CC,in_refund,451056,60.0,0.0,1000.0,0.0,1000.0,[],60.0
VAT-IN-V81-06-CC,in_refund,440000,1000.0,0.0,1000.0,0.0,1000.0,[],0.0

VAT-IN-V81-00-CC,VAT-IN-V81-00-CC,VAT-IN-V81-00-CC,VAT-IN-V81-00-CC,VAT-IN-V81-00-CC,VAT-IN-V81-00-CC,VAT-IN-V81-00-CC,VAT-IN-V81-00-CC,VAT-IN-V81-00-CC

VAT-IN-V81-00-CC,in_invoice,600000,0.0,0.0,1000.0,0.0,1000.0,['+BETAX87'],1000.0
VAT-IN-V81-00-CC,in_invoice,440000,0.0,1000.0,1000.0,0.0,1000.0,[],0.0
VAT-IN-V81-00-CC,in_invoice,600000,1000.0,0.0,1000.0,0.0,1000.0,['+BETAX81'],1000.0

VAT-IN-V81-00-CC,in_refund,600000,0.0,0.0,1000.0,0.0,1000.0,['-BETAX81'],1000.0
VAT-IN-V81-00-CC,in_refund,600000,0.0,0.0,1000.0,0.0,1000.0,['-BETAX87'],1000.0
VAT-IN-V81-00-CC,in_refund,600000,0.0,1000.0,1000.0,0.0,1000.0,['+BETAX85'],1000.0
VAT-IN-V81-00-CC,in_refund,440000,1000.0,0.0,1000.0,0.0,1000.0,[],0.0

VAT-IN-V82-21-CC,VAT-IN-V82-21-CC,VAT-IN-V82-21-CC,VAT-IN-V82-21-CC,VAT-IN-V82-21-CC,VAT-IN-V82-21-CC,VAT-IN-V82-21-CC,VAT-IN-V82-21-CC,VAT-IN-V82-21-CC

VAT-IN-V82-21-CC,in_invoice,600000,0.0,0.0,1000.0,0.0,1000.0,['+BETAX87'],1000.0
VAT-IN-V82-21-CC,in_invoice,451056,0.0,210.0,1000.0,0.0,1000.0,['+BETAX56'],210.0
VAT-IN-V82-21-CC,in_invoice,440000,0.0,1000.0,1000.0,0.0,1000.0,[],0.0
VAT-IN-V82-21-CC,in_invoice,411059,210.0,0.0,1000.0,0.0,1000.0,['+BETAX59'],210.0
VAT-IN-V82-21-CC,in_invoice,600000,1000.0,0.0,1000.0,0.0,1000.0,['+BETAX82'],1000.0

VAT-IN-V82-21-CC,in_refund,600000,0.0,0.0,1000.0,0.0,1000.0,['-BETAX82'],1000.0
VAT-IN-V82-21-CC,in_refund,600000,0.0,0.0,1000.0,0.0,1000.0,['-BETAX87'],1000.0
VAT-IN-V82-21-CC,in_refund,411059,0.0,210.0,1000.0,0.0,1000.0,[],210.0
VAT-IN-V82-21-CC,in_refund,600000,0.0,1000.0,1000.0,0.0,1000.0,['+BETAX85'],1000.0
VAT-IN-V82-21-CC,in_refund,451056,210.0,0.0,1000.0,0.0,1000.0,[],210.0
VAT-IN-V82-21-CC,in_refund,440000,1000.0,0.0,1000.0,0.0,1000.0,[],0.0

VAT-IN-V82-12-CC,VAT-IN-V82-12-CC,VAT-IN-V82-12-CC,VAT-IN-V82-12-CC,VAT-IN-V82-12-CC,VAT-IN-V82-12-CC,VAT-IN-V82-12-CC,VAT-IN-V82-12-CC,VAT-IN-V82-12-CC

VAT-IN-V82-12-CC,in_invoice,600000,0.0,0.0,1000.0,0.0,1000.0,['+BETAX87'],1000.0
VAT-IN-V82-12-CC,in_invoice,451056,0.0,120.0,1000.0,0.0,1000.0,['+BETAX56'],120.0
VAT-IN-V82-12-CC,in_invoice,440000,0.0,1000.0,1000.0,0.0,1000.0,[],0.0
VAT-IN-V82-12-CC,in_invoice,411059,120.0,0.0,1000.0,0.0,1000.0,['+BETAX59'],120.0
VAT-IN-V82-12-CC,in_invoice,600000,1000.0,0.0,1000.0,0.0,1000.0,['+BETAX82'],1000.0

VAT-IN-V82-12-CC,in_refund,600000,0.0,0.0,1000.0,0.0,1000.0,['-BETAX82'],1000.0
VAT-IN-V82-12-CC,in_refund,600000,0.0,0.0,1000.0,0.0,1000.0,['-BETAX87'],1000.0
VAT-IN-V82-12-CC,in_refund,411059,0.0,120.0,1000.0,0.0,1000.0,[],120.0
VAT-IN-V82-12-CC,in_refund,600000,0.0,1000.0,1000.0,0.0,1000.0,['+BETAX85'],1000.0
VAT-IN-V82-12-CC,in_refund,451056,120.0,0.0,1000.0,0.0,1000.0,[],120.0
VAT-IN-V82-12-CC,in_refund,440000,1000.0,0.0,1000.0,0.0,1000.0,[],0.0

VAT-IN-V82-06-CC,VAT-IN-V82-06-CC,VAT-IN-V82-06-CC,VAT-IN-V82-06-CC,VAT-IN-V82-06-CC,VAT-IN-V82-06-CC,VAT-IN-V82-06-CC,VAT-IN-V82-06-CC,VAT-IN-V82-06-CC

VAT-IN-V82-06-CC,in_invoice,600000,0.0,0.0,1000.0,0.0,1000.0,['+BETAX87'],1000.0
VAT-IN-V82-06-CC,in_invoice,451056,0.0,60.0,1000.0,0.0,1000.0,['+BETAX56'],60.0
VAT-IN-V82-06-CC,in_invoice,440000,0.0,1000.0,1000.0,0.0,1000.0,[],0.0
VAT-IN-V82-06-CC,in_invoice,411059,60.0,0.0,1000.0,0.0,1000.0,['+BETAX59'],60.0
VAT-IN-V82-06-CC,in_invoice,600000,1000.0,0.0,1000.0,0.0,1000.0,['+BETAX82'],1000.0

VAT-IN-V82-06-CC,in_refund,600000,0.0,0.0,1000.0,0.0,1000.0,['-BETAX82'],1000.0
VAT-IN-V82-06-CC,in_refund,600000,0.0,0.0,1000.0,0.0,1000.0,['-BETAX87'],1000.0
VAT-IN-V82-06-CC,in_refund,411059,0.0,60.0,1000.0,0.0,1000.0,[],60.0
VAT-IN-V82-06-CC,in_refund,600000,0.0,1000.0,1000.0,0.0,1000.0,['+BETAX85'],1000.0
VAT-IN-V82-06-CC,in_refund,451056,60.0,0.0,1000.0,0.0,1000.0,[],60.0
VAT-IN-V82-06-CC,in_refund,440000,1000.0,0.0,1000.0,0.0,1000.0,[],0.0

VAT-IN-V82-00-CC,VAT-IN-V82-00-CC,VAT-IN-V82-00-CC,VAT-IN-V82-00-CC,VAT-IN-V82-00-CC,VAT-IN-V82-00-CC,VAT-IN-V82-00-CC,VAT-IN-V82-00-CC,VAT-IN-V82-00-CC

VAT-IN-V82-00-CC,in_invoice,600000,0.0,0.0,1000.0,0.0,1000.0,['+BETAX87'],1000.0
VAT-IN-V82-00-CC,in_invoice,440000,0.0,1000.0,1000.0,0.0,1000.0,[],0.0
VAT-IN-V82-00-CC,in_invoice,600000,1000.0,0.0,1000.0,0.0,1000.0,['+BETAX82'],1000.0

VAT-IN-V82-00-CC,in_refund,600000,0.0,0.0,1000.0,0.0,1000.0,['-BETAX82'],1000.0
VAT-IN-V82-00-CC,in_refund,600000,0.0,0.0,1000.0,0.0,1000.0,['-BETAX87'],1000.0
VAT-IN-V82-00-CC,in_refund,600000,0.0,1000.0,1000.0,0.0,1000.0,['+BETAX85'],1000.0
VAT-IN-V82-00-CC,in_refund,440000,1000.0,0.0,1000.0,0.0,1000.0,[],0.0

VAT-IN-V83-21-CC,VAT-IN-V83-21-CC,VAT-IN-V83-21-CC,VAT-IN-V83-21-CC,VAT-IN-V83-21-CC,VAT-IN-V83-21-CC,VAT-IN-V83-21-CC,VAT-IN-V83-21-CC,VAT-IN-V83-21-CC

VAT-IN-V83-21-CC,in_invoice,600000,0.0,0.0,1000.0,0.0,1000.0,['+BETAX87'],1000.0
VAT-IN-V83-21-CC,in_invoice,451056,0.0,210.0,1000.0,0.0,1000.0,['+BETAX56'],210.0
VAT-IN-V83-21-CC,in_invoice,440000,0.0,1000.0,1000.0,0.0,1000.0,[],0.0
VAT-IN-V83-21-CC,in_invoice,411059,210.0,0.0,1000.0,0.0,1000.0,['+BETAX59'],210.0
VAT-IN-V83-21-CC,in_invoice,600000,1000.0,0.0,1000.0,0.0,1000.0,['+BETAX83'],1000.0

VAT-IN-V83-21-CC,in_refund,600000,0.0,0.0,1000.0,0.0,1000.0,['-BETAX83'],1000.0
